,total_seconds,normalized_power_level
1296,1296,1.003468
1297,1297,1.003468
1298,1298,1.003468
1299,1299,1.001816
1300,1300,1.001816
1301,1301,1.001816
1302,1302,1.001816
1303,1303,1.001816
1304,1304,1.001816
1305,1305,1.001816
1306,1306,1.001816
1307,1307,1.002697
1308,1308,1.002697
1309,1309,1.002697
1310,1310,1.002697
1311,1311,1.002697
1312,1312,1.002697
1313,1313,1.002697
1314,1314,1.002697
1315,1315,1.002807
1316,1316,1.002807
1317,1317,1.002807
1318,1318,1.002807
1319,1319,1.002807
1320,1320,1.002587
1321,1321,1.002587
1322,1322,1.002587
1323,1323,1.002587
1324,1324,1.002587
1325,1325,1.002367
1326,1326,1.002367
1327,1327,1.002367
1328,1328,1.002367
1329,1329,1.002367
1330,1330,1.002367
1331,1331,1.002367
1332,1332,1.002367
1333,1333,1.002367
1334,1334,1.002367
1335,1335,1.001926
1336,1336,1.001926
1337,1337,1.001926
1338,1338,1.001926
1339,1339,1.001926
1340,1340,1.002367
1341,1341,1.002367
1342,1342,1.002367
1343,1343,1.001375
1344,1344,1.001375
1345,1345,1.001375
1346,1346,1.001375
1347,1347,1.001486
1348,1348,1.001486
1349,1349,1.001486
1350,1350,1.001486
1351,1351,1.001486
1352,1352,1.001486
1353,1353,1.001486
1354,1354,1.001486
1355,1355,1.001486
1356,1356,1.001486
1357,1357,1.001045
1358,1358,1.001045
1359,1359,1.001045
1360,1360,1.001045
1361,1361,1.001045
1362,1362,1.001045
1363,1363,1.001045
1364,1364,1.001045
1365,1365,1.001045
1366,1366,1.001045
1367,1367,1.001045
1368,1368,1.001045
1369,1369,1.001045
1370,1370,1.001486
1371,1371,1.001486
1372,1372,1.001486
1373,1373,1.001486
1374,1374,1.001486
1375,1375,1.001486
1376,1376,1.001486
1377,1377,1.001486
1378,1378,1.001486
1379,1379,1.001486
1380,1380,1.001045
1381,1381,1.001045
1382,1382,1.001045
1383,1383,1.001045
1384,1384,1.001045
1385,1385,1.001045
1386,1386,1.001045
1387,1387,1.001045
1388,1388,1.001045
1389,1389,1.000054
1390,1390,1.000054
1391,1391,1.000054
1392,1392,1.000054
1393,1393,1.000054
1394,1394,1.000274
1395,1395,1.000274
1396,1396,1.000274
1397,1397,1.000274
1398,1398,1.000274
1399,1399,0.999172
1400,1400,0.999172
1401,1401,0.999172
1402,1402,0.999172
1403,1403,0.999172
1404,1404,0.999172
1405,1405,0.999172
1406,1406,0.999172
1407,1407,0.999172
1408,1408,0.999723
1409,1409,0.999723
1410,1410,0.999723
1411,1411,0.999723
1412,1412,1.000274
1413,1413,1.000274
1414,1414,1.000274
1415,1415,1.000274
1416,1416,1.000274
1417,1417,1.000274
1418,1418,1.000274
1419,1419,1.000274
1420,1420,1.000274
1421,1421,1.000274
1422,1422,1.000274
1423,1423,1.000274
1424,1424,1.000274
1425,1425,1.000274
1426,1426,1.000274
1427,1427,0.999613
1428,1428,0.999613
1429,1429,0.999613
1430,1430,0.999613
1431,1431,0.999723
1432,1432,0.999723
1433,1433,0.999723
1434,1434,0.999723
1435,1435,0.999283
1436,1436,0.999283
1437,1437,0.999283
1438,1438,0.999283
1439,1439,0.999283
1440,1440,0.999283
1441,1441,0.999283
1442,1442,0.999283
1443,1443,0.999283
1444,1444,0.999283
1445,1445,0.999283
1446,1446,0.999283
1447,1447,0.999283
1448,1448,0.998732
